Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Ameen Al-Dakhil,22,DF,Stuttgart,7,432,0,0,0.1,0.2,1,0
Thijs Dallinga,23,FW,Bologna,31,1154,3,2,4.3,0.6,31,11
Diogo Dalot,25,DF,Manchester Utd,33,2814,0,3,2,2,25,5
Mikkel Damsgaard,24,"MF,FW",Brentford,38,2911,2,10,2.8,8.4,35,7
Maat Daniel Caprini,18,FW,Fiorentina,1,7,0,0,0,0,0,0
Flavius Daniliuc,23,DF,Hellas Verona,18,1004,0,0,0.1,0.1,3,1
Danilo,23,"MF,FW",Nott'ham Forest,8,275,0,0,0,0,0,0
Danilo,33,DF,Juventus,12,581,0,1,0.1,0.4,1,0
Arnaut Danjuma,27,FW,Villarreal,3,200,2,0,0.8,0,6,3
Arnaut Danjuma,27,"FW,MF",Girona,25,1335,2,0,3.6,1.7,30,14
Jayden Danns,18,MF,Liverpool,1,11,0,0,0,0,0,0
Kévin Danois,20,MF,Auxerre,22,1460,0,0,1.5,2.2,17,3
Kevin Danso,25,DF,Tottenham,10,842,0,0,0.4,0.1,7,3
Kevin Danso,25,DF,Lens,12,1080,0,0,0.5,1,10,2
Dante,40,DF,Nice,25,1964,0,0,0.5,0.2,9,2
Pape Daouda Diongue,,"MF,FW",Strasbourg,9,78,1,0,1,0.2,5,2
Mohamed Daramy,22,FW,Reims,2,16,0,0,0,0.1,1,0
Bence Dárdai,18,MF,Wolfsburg,21,1304,1,1,1,1,11,1
Sergi Darder,30,"MF,FW",Mallorca,38,2744,2,6,2.1,3.7,36,9
Matteo Darmian,34,DF,Inter,29,1781,3,2,1.9,1.5,11,3
Lukas Daschner,25,"MF,FW",Bochum,14,412,1,1,2.7,0.7,8,4
Juan David Cabal,23,DF,Juventus,7,460,0,0,0.1,0,5,0
Jonathan David,24,FW,Lille,32,2554,16,5,16.2,4.4,66,28
Alphonso Davies,23,DF,Bayern Munich,19,1560,1,2,1.2,1.6,17,3
Ben Davies,31,DF,Tottenham,17,1331,0,0,0.3,0.2,5,1
Keinan Davis,26,FW,Udinese,23,1066,2,1,2.9,2.1,29,11
Leif Davis,24,DF,Ipswich Town,33,2743,1,2,1,4.9,16,2
Zuriko Davitashvili,23,"FW,MF",Saint-Étienne,33,2778,9,8,8.1,4.7,68,24
Paweł Dawidowicz,29,"DF,MF",Hellas Verona,26,1845,0,0,0.3,0,4,0
Craig Dawson,34,DF,Wolves,15,971,0,0,0.5,0,5,1
Kevin De Bruyne,33,"MF,FW",Manchester City,28,1702,4,7,5.1,8,57,15
Bobby De Cordova-Reid,31,FW,Leicester City,23,744,1,2,0.8,1.2,7,3
Charles De Ketelaere,23,"MF,FW",Atalanta,36,2070,7,7,7.3,6,48,20
Rodrigo De Paul,30,MF,Atlético Madrid,34,2106,3,5,1.3,5.6,19,4
Théo De Percin,23,GK,Auxerre,2,180,0,0,0,0,0,0
Mattia De Sciglio,31,DF,Empoli,16,769,1,0,0.6,0.2,5,3
Lorenzo De Silvestri,36,DF,Bologna,18,1060,1,0,0.8,0.3,9,4
Thibault De Smet,26,DF,Reims,5,192,0,0,0.1,0,1,0
Koni De Winter,22,DF,Genoa,25,2135,3,0,2.1,0.2,13,7
Amar Dedić,21,DF,Marseille,10,314,0,1,0.9,0.9,6,2
Alessandro Deiola,28,MF,Cagliari,29,1432,2,1,1.7,0.6,18,5
Romain Del Castillo,28,FW,Brest,26,1259,6,4,4.7,3.4,17,8
Enrico Del Prato,24,DF,Parma,34,2947,4,0,2,1.2,12,5
Thomas Delaine,32,DF,Strasbourg,2,9,0,0,0,0,0,0
Liam Delap,21,FW,Ipswich Town,37,2593,12,2,9.3,1.9,66,29
Fisayo Dele-Bashiru,23,"MF,FW",Lazio,20,947,3,1,1.1,0.8,16,5
Andy Delort,32,FW,Montpellier,9,607,0,0,1.3,0.9,17,6
Olivier Deman,24,DF,Werder Bremen,9,67,0,0,0,0.1,0,0
Ali Dembélé,20,DF,Torino,15,388,1,0,0.4,0.1,5,2
Ousmane Dembélé,27,FW,Paris S-G,29,1730,21,6,16.6,8.2,96,49
Ermedin Demirović,26,FW,Stuttgart,34,1855,15,1,14.1,1.9,64,27
Sepp van den Berg,22,DF,Brentford,31,2586,0,0,2,0.8,20,6
Rémy Descamps,28,GK,Lyon,1,90,0,0,0,0,0,0
Arthur Desmas,30,GK,Le Havre,18,1620,0,0,0,0,0,0
Justin Devenny,20,MF,Crystal Palace,23,507,1,1,0.8,0.6,10,6
Kiernan Dewsbury-Hall,25,"MF,FW",Chelsea,13,264,0,1,0.2,1.1,1,0
Michele Di Gregorio,27,GK,Juventus,33,2970,0,0,0,0.5,0,0
Giovanni Di Lorenzo,30,DF,Napoli,37,3330,3,2,2.8,3.9,21,6
Boulaye Dia,27,"MF,FW",Lazio,35,2177,9,3,7.1,4.2,39,19
Mouctar Diakhaby,27,DF,Valencia,13,653,2,0,1.5,0,11,4
Mamadou Diakhon,18,"FW,MF",Reims,28,858,2,1,1,1.1,18,8
Bafodé Diakité,23,DF,Lille,31,2766,4,1,2.3,0.2,16,7
Oumar Diakité,20,FW,Reims,26,1628,4,1,5.5,1.1,26,9
Amad Diallo,22,"MF,FW",Manchester Utd,26,1901,8,6,4.7,4.9,47,17
Assane Diao,18,"FW,MF",Como,15,1252,8,1,4,0.4,28,13
Assane Diao,18,FW,Betis,10,277,1,2,0.8,1.5,7,1
Habib Diarra,20,"MF,FW",Strasbourg,30,2352,4,5,3.3,4.5,25,10
Moussa Diarra,23,DF,Alavés,26,1866,0,0,0,0.1,1,0
Rúben Dias,27,DF,Manchester City,27,2271,0,0,1.5,0.3,21,7
Krépin Diatta,25,"DF,FW",Monaco,19,508,0,0,0.2,0.8,2,1
Kandet Diawara,24,FW,Le Havre,1,4,0,0,0,0,0,0
Mahamadou Diawara,19,MF,Le Havre,15,582,0,1,0.4,0.4,7,1
Mahamadou Diawara,19,MF,Lyon,2,16,0,0,0,0,0,0
Brahim Díaz,24,"FW,MF",Real Madrid,31,1385,4,2,5.3,3.3,28,15
Daniel Díaz,18,MF,Real Sociedad,1,10,0,0,0,0,0,0
Luis Díaz,27,FW,Liverpool,36,2399,13,5,12,5,71,30
Pedro Díaz,26,MF,Rayo Vallecano,26,1211,3,0,2.4,2.1,31,7
Tyler Dibling,18,"FW,MF",Southampton,33,1874,2,0,2.5,1.5,28,9
Diego,24,FW,Leganés,28,1195,3,0,3.8,0.2,29,9
Justin Diehl,19,"FW,DF",Stuttgart,6,104,1,0,1,0.1,7,1
Bamba Dieng,24,FW,Angers,18,532,3,0,3.1,0,13,6
Eric Dier,30,DF,Bayern Munich,21,1463,2,1,1.1,0.1,9,5
Lucas Digne,31,DF,Aston Villa,32,2351,0,4,0.8,4.7,13,3
Kembo Diliwidi,18,DF,Lens,1,4,0,0,0,0,0,0
Federico Dimarco,26,"DF,FW",Inter,32,2140,4,7,3.3,6.1,55,20
Stole Dimitrievski,30,GK,Valencia,4,360,0,0,0,0,0,0
Junior Dina Ebimbe,23,"MF,FW",Eint Frankfurt,7,293,0,1,0.9,0.9,8,0
