Player,Age,Position,Team,Matches,Minutes,Goals,Assists,xG,xAG,Shots,Shots_on_Target
Bradley Locko,22,DF,Brest,2,97,0,0,0,0,1,0
Ruben Loftus-Cheek,28,MF,Milan,19,1037,0,0,0.7,1.9,9,2
Elysée Logbo,20,FW,Le Havre,1,27,0,0,0.2,0,1,0
Enzo Loiodice,23,MF,Las Palmas,17,684,0,0,0.3,0.2,7,4
Sean Longstaff,26,MF,Newcastle Utd,25,798,0,0,0.6,0.2,6,1
Ademola Lookman,26,"MF,FW",Atalanta,31,2247,15,5,10.3,7.1,81,32
Anthony Lopes,33,GK,Nantes,18,1563,0,0,0,0,0,0
David López,21,DF,Mallorca,2,169,0,0,0,0,0,0
David López,34,DF,Girona,29,2429,1,1,0.9,0.6,12,3
Diego López,22,"MF,FW",Valencia,38,2737,8,5,6.6,5,44,14
Fer López,,"FW,MF",Celta Vigo,17,671,2,0,2.7,1.9,20,5
Fermin López,21,"MF,FW",Barcelona,28,1252,6,5,5.6,3.9,41,15
Javi López,22,DF,Real Sociedad,29,1936,0,0,0.1,0.4,5,1
Pau López,29,GK,Girona,1,45,0,0,0,0,0,0
Roberto López,24,MF,Leganés,13,396,0,1,0.5,0.9,6,1
Unai López,28,MF,Rayo Vallecano,32,1707,3,1,1.6,1,26,11
Iker Losada,22,"FW,MF",Celta Vigo,12,358,1,0,1.1,0.3,3,2
Iker Losada,22,"MF,FW",Betis,10,336,0,0,0.5,0.3,5,1
Anthony Losilla,38,MF,Bochum,21,1137,0,0,0.1,0.4,5,0
Jordan Lotomba,25,"MF,DF",Nice,2,35,0,0,0,0,0,0
Tom Louchet,21,"DF,MF",Nice,22,775,1,0,0.8,1.2,12,4
Sandi Lovrić,26,MF,Udinese,36,2308,2,3,2.6,3.4,49,12
Pol Lozano,24,MF,Espanyol,30,1943,0,1,0.2,0.8,8,2
Lorenzo Lucca,23,FW,Udinese,33,2353,12,1,7.6,1.6,64,25
Jhon Lucumí,26,DF,Bologna,32,2614,0,1,0.6,0.4,13,2
Yannik Lührs,20,DF,Dortmund,3,127,0,0,0,0,0,0
José Luis Gayà,29,DF,Valencia,23,1803,0,1,1,2.6,12,4
José Luis Palomino,34,DF,Cagliari,18,1081,1,0,0.5,0,2,1
Douglas Luiz,26,MF,Juventus,19,529,0,0,0.6,1,8,2
Romelu Lukaku,31,FW,Napoli,36,2843,14,10,13,4,60,20
Castello Lukeba,21,DF,RB Leipzig,23,1577,0,0,0.4,0.2,4,1
Dodi Lukebakio,26,FW,Sevilla,38,3092,11,2,10.1,4.5,93,38
Saša Lukić,27,MF,Fulham,30,2344,0,2,1.2,2.7,18,2
Milos Lukovic,18,"FW,MF",Strasbourg,2,12,0,0,0,0,0,0
Joe Lumley,29,GK,Southampton,3,270,0,0,0,0,0,0
Daniel Luna,21,MF,Mallorca,2,20,0,0,0,0,0,0
Andriy Lunin,25,GK,Real Madrid,7,630,0,1,0,0.9,0,0
Massimo Luongo,31,MF,Ipswich Town,11,201,0,0,0,0,0,0
Sebastiano Luperto,27,DF,Cagliari,36,3240,1,3,2.2,1.3,21,5
Zito Luvumbo,22,"FW,MF",Cagliari,26,1606,2,2,2.1,3.1,23,4
Charalambos Lykogiannis,30,DF,Bologna,17,1048,0,4,0.2,1.6,6,2
Senne Lynen,25,MF,Werder Bremen,32,2733,0,1,1.1,0.6,24,3
Mathias Løvik,20,"DF,FW",Parma,6,92,0,0,0.1,0.1,1,0
Othmane Maamma,18,"FW,MF",Montpellier,12,361,1,1,0.7,0.2,10,3
Ian Maatsen,22,DF,Aston Villa,29,1139,1,2,0.9,2.7,19,5
Alexis Mac Allister,25,MF,Liverpool,35,2599,5,5,2.8,4.7,38,13
Deiver Machado,30,"DF,MF",Lens,27,1805,1,4,2.3,2.1,23,5
Lanroy Machine,18,FW,Angers,2,8,0,0,0.1,0,1,0
Shuto Machino,24,"FW,MF",Holstein Kiel,32,1953,11,2,6.5,3,49,21
Darwin Machís,31,"MF,FW",Valladolid,18,639,0,1,0.9,0.5,14,2
Yvann Macon,25,DF,Saint-Étienne,12,790,0,0,0.3,0.2,10,2
James Maddison,27,MF,Tottenham,31,1809,9,7,5.8,4.2,39,17
Eros Maddy,23,DF,Auxerre,2,15,0,0,0,0.1,0,0
Noni Madueke,22,FW,Chelsea,32,2033,7,3,9.6,4.2,80,30
Pablo Maffeo,27,DF,Mallorca,30,2368,0,2,0.3,4.1,7,1
Gabriel Magalhães,26,DF,Arsenal,28,2363,3,1,2.6,0.9,22,5
Soungoutou Magassa,20,MF,Monaco,21,1025,0,1,0.5,0.9,8,3
Edmond-Paris Maghoma,23,"MF,FW",Brentford,8,119,0,0,0.1,0.1,1,0
Giangiacomo Magnani,28,DF,Hellas Verona,17,1065,1,0,1.1,0,11,2
Hugo Magnetti,26,MF,Brest,32,2323,1,0,0.8,0.4,19,6
Frank Magri,24,"FW,MF",Toulouse,31,1516,5,1,6,1.5,44,18
Harry Maguire,31,DF,Manchester Utd,27,1758,1,0,1.8,0.6,15,6
Jon Magunazelaia,23,MF,Real Sociedad,2,7,0,0,0,0,0,0
Arne Maier,25,MF,Augsburg,28,938,0,0,1.5,1.5,18,6
Mike Maignan,29,GK,Milan,37,3294,0,0,0,0.8,0,0
Patrick Mainka,29,DF,Heidenheim,34,3060,1,1,1.9,0.3,25,8
Kobbie Mainoo,19,MF,Manchester Utd,25,1651,0,0,0.7,1.6,15,2
Ainsley Maitland-Niles,26,DF,Lyon,32,1985,1,4,2.9,3.4,22,7
Radosław Majecki,24,GK,Monaco,15,1350,0,0,0,0,0,0
Lovro Majer,26,MF,Wolfsburg,9,304,2,1,1.4,1.1,6,4
Hamidou Makalou,18,"FW,MF",Brest,4,32,0,0,0,0,0,0
Jordy Makengo,22,DF,Freiburg,19,745,0,0,0,0.2,0,0
Antoine Makoumbou,26,MF,Cagliari,33,2150,0,3,0.3,0.9,7,0
Nikola Maksimović,32,DF,Montpellier,7,581,0,0,0,0,1,0
Tyrell Malacia,24,DF,Manchester Utd,3,100,0,0,0,0,0,0
Jarzinho Malanga,18,DF,Stuttgart,1,2,0,0,0,0,0,0
Julián Malatini,23,DF,Werder Bremen,10,454,1,1,0.2,0.5,3,1
Daniel Maldini,22,"MF,FW",Monza,20,1306,3,0,4.8,0.9,39,13
Daniel Maldini,22,"FW,MF",Atalanta,10,258,3,0,1.9,0.2,10,5
Youssef Maleh,25,MF,Empoli,22,1510,0,1,0.9,0.9,17,3
Donyell Malen,25,FW,Aston Villa,14,305,3,0,2.2,0.2,15,9
Donyell Malen,25,"FW,MF",Dortmund,14,614,3,0,2.9,0.2,19,6
Ruslan Malinovskyi,31,"MF,FW",Genoa,9,383,0,2,0.2,1.5,9,3
Lennard Maloney,24,MF,Heidenheim,11,760,0,0,0.3,0,3,0
Lennard Maloney,24,MF,Mainz 05,5,26,0,0,0,0,0,0
Aaron Malouda,18,FW,Lille,1,2,0,0,0,0,0,0
Giorgi Mamardashvili,23,GK,Valencia,34,3060,0,0,0,0.1,0,0
Dennis Man,25,"FW,MF",Parma,33,1995,4,4,5.5,4.2,49,20
Hianga Mananga Mbock,24,MF,Brest,1,21,0,0,0,0,1,1
Gianluca Mancini,28,DF,Roma,37,3143,2,0,1.7,0.9,22,5
Steve Mandanda,39,GK,Rennes,18,1486,0,0,0,0.1,0,0
Christos Mandas,22,GK,Lazio,9,810,0,0,0,0,0,0
Reinildo Mandava,30,DF,Atlético Madrid,19,941,0,0,0.1,0.1,1,1
Aïssa Mandi,32,DF,Lille,24,1733,0,0,0.3,0.4,6,2
Rolando Mandragora,27,MF,Fiorentina,28,1856,4,2,2.7,4.8,37,14
Mateus Mane,,MF,Wolves,1,2,0,0,0,0,0,0
Orel Mangala,26,MF,Everton,19,1261,1,0,1.1,0.6,16,6
Orel Mangala,26,MF,Lyon,1,67,0,0,0.1,0,1,0
Ryan Manning,28,"DF,MF",Southampton,24,1462,0,1,0.3,3.2,8,1
Javier Manquillo,30,DF,Celta Vigo,10,515,0,0,0,0,0,0
Johan Manzambi,18,"FW,MF",Freiburg,11,335,2,1,1.3,0.4,11,3
Alberto Manzoni,19,MF,Atalanta,1,6,0,0,0.1,0,1,0
Sekou Mara,22,"FW,MF",Strasbourg,25,768,1,1,2,1,19,5
Alessandro Marcandalli,21,DF,Genoa,2,46,0,0,0,0,0,0
Alessandro Marcandalli,21,DF,Venezia,8,354,0,0,0.3,0,2,1
Marcão,28,DF,Sevilla,12,552,0,0,0,0,0,0
Solly March,30,"FW,MF",Brighton,8,168,0,0,0.1,0.3,2,0
Filip Marchwiński,22,MF,Lecce,1,15,0,0,0,0,0,0
Óscar de Marcos,35,DF,Athletic Club,26,1564,0,4,1,2.6,8,2
Alberto Marí,23,FW,Valencia,1,7,0,0,0,0,0,0
Pablo Marí,30,DF,Monza,19,1628,0,0,0.2,0.1,2,0
Pablo Marí,30,DF,Fiorentina,13,1098,0,0,0.1,0,5,1
José María Giménez,29,DF,Atlético Madrid,27,1999,0,1,0.4,0.2,5,1
Luca Marianucci,20,DF,Empoli,18,1069,0,0,0.6,0.2,8,2
Mirko Marić,29,"FW,MF",Monza,8,106,0,0,0.2,0,1,0
Mirko Marić,29,FW,Venezia,10,356,0,0,0.6,0,6,0
Arkaitz Mariezkurrena,19,"FW,MF",Real Sociedad,9,241,2,0,1,0.1,10,5
Rafa Marín,22,DF,Napoli,4,142,0,0,0.2,0,2,1
Pablo Marín,21,MF,Real Sociedad,23,1239,1,2,1.4,1,21,7
Răzvan Marin,28,MF,Cagliari,33,1406,3,2,2.4,3.6,21,8
Guillermo Maripán,30,DF,Torino,28,2340,1,1,0.9,1,12,5
Mika Mármol,23,DF,Las Palmas,30,2399,0,1,0.4,1.5,10,0
Omar Marmoush,25,"FW,MF",Manchester City,16,1175,7,0,5.5,2.8,49,17
Omar Marmoush,25,FW,Eint Frankfurt,17,1448,15,9,8.8,6.2,75,34
Mario Maroto,20,MF,Valladolid,2,64,0,1,0,0.1,1,0
Marquinhos,30,DF,Paris S-G,22,1725,2,0,1.1,0.8,8,3
Unai Marrero,22,GK,Real Sociedad,2,180,0,0,0,0,0,0
Ange Martial Tia,17,"MF,DF",Reims,6,171,0,0,1.3,0,4,2
Aarón Martín,27,DF,Genoa,36,3085,0,8,0.9,5.5,16,4
Carlos Martín,22,"FW,MF",Alavés,26,1333,2,2,2.3,2.7,26,12
Diego Martín,20,FW,Las Palmas,2,40,0,0,0,0,1,0
Gerard Martín,22,DF,Barcelona,28,1038,1,3,0.5,1.1,7,2
Iván Martín,25,MF,Girona,32,2039,1,1,1.8,1.9,11,3
Jon Martin,18,DF,Real Sociedad,13,904,0,1,0.6,0.2,9,1
Jonas Martin,34,MF,Brest,17,496,1,0,0.4,0.3,3,1
Mario Martín,20,MF,Valladolid,30,1748,0,1,1.8,1.4,28,13
Gabriel Martinelli,23,"FW,MF",Arsenal,33,2290,8,4,7.4,5,55,24
Arnau Martinez,21,"DF,MF",Girona,32,2624,2,2,1.2,2.2,19,6
Emiliano Martínez,31,GK,Aston Villa,37,3194,0,0,0,0.5,0,0
Iñigo Martínez,33,DF,Barcelona,28,2490,0,4,0.5,2.6,13,2
Javi Martínez,24,MF,Osasuna,1,6,0,0,0,0,0,0
Josep Martinez,26,GK,Inter,5,450,0,0,0,0.1,0,0
Lautaro Martínez,26,FW,Inter,30,2474,12,3,13.5,4.3,99,33
Lisandro Martínez,26,DF,Manchester Utd,20,1751,2,1,1.3,1.1,17,6
Lucas Martínez Quarta,28,DF,Fiorentina,8,351,1,0,0.7,0,3,1
Ramón Martínez,21,DF,Sevilla,5,261,1,0,0.3,0.1,4,3
Toni Martínez,27,FW,Alavés,28,1012,4,0,3.6,0.6,46,15
Kevin Martins,19,"MF,DF",Monza,9,183,0,1,0,0.4,0,0
Javi Martón,25,"FW,MF",Athletic Club,3,53,0,0,0,0,0,0
Adam Marušić,31,DF,Lazio,35,2337,4,0,2,0.6,23,10
Marvin,24,"DF,FW",Las Palmas,23,1038,0,0,0.2,1.1,5,0
Omar Mascarell,31,MF,Mallorca,32,1992,1,0,0.5,0.2,9,2
Adam Masina,30,DF,Torino,28,1919,1,2,0.7,0.3,8,2
Patrizio Masini,23,MF,Genoa,26,1538,1,0,0.4,0.2,8,1
Giorgos Masouras,30,"FW,MF",Bochum,14,1055,2,1,3.9,1.1,30,15
Erhan Mašović,25,DF,Bochum,16,910,1,1,0.6,0.9,7,4
Han-Noah Massengo,23,MF,Auxerre,17,1046,0,0,0.4,0.4,6,3
Clinton Mata,31,DF,Lyon,29,2370,0,4,0.2,1.4,5,0
Jaime Mata,35,"FW,MF",Las Palmas,30,656,0,0,2.6,0.1,17,6
Igor Matanovic,21,FW,Eint Frankfurt,16,312,1,0,1.1,0,12,4
Pape Matar Sarr,21,MF,Tottenham,36,1913,3,2,3.7,1.6,34,13
Eliot Matazo,22,MF,Monaco,3,68,0,0,0,0.1,0,0
Jean-Philippe Mateta,27,FW,Crystal Palace,37,2648,14,2,13.5,3.2,68,29
Nemanja Matić,35,MF,Lyon,29,2010,0,1,0.1,1.3,2,1
Rudy Matondo,16,MF,Auxerre,5,66,0,0,0,0,0,0
Chrislain Matsima,22,DF,Augsburg,30,2551,1,1,1.8,0.3,14,2
Jean Mattéo Bahoya,19,"MF,FW",Eint Frankfurt,24,921,2,3,1.9,1.7,10,3
Alan Matturro,19,DF,Genoa,13,900,0,0,0.2,0.2,4,3
Azor Matusiwa,26,MF,Rennes,29,2078,1,3,1.2,1.8,11,2
Neal Maupay,27,FW,Marseille,22,1042,4,4,4.1,2.2,19,10
Maurides,30,FW,St. Pauli,1,2,0,0,0,0,0,0
Stephy Mavididi,26,FW,Leicester City,30,1615,4,1,1.8,2.6,26,7
Konstantinos Mavropanos,26,DF,West Ham,33,2045,0,0,1.5,0.5,18,5
Christian Mawissa,19,DF,Monaco,22,1501,0,0,0.1,0,1,1
Keke Maximilian Topp,20,"FW,MF",Werder Bremen,19,252,2,2,1,2,7,4
Borja Mayoral,27,FW,Getafe,24,1114,5,1,3.4,0.9,19,8
Senny Mayulu,18,MF,Paris S-G,20,808,2,2,2.9,2.1,25,8
Noussair Mazraoui,26,DF,Manchester Utd,37,2838,0,1,0.7,1.5,13,3
Andrea Mazza,20,GK,Monza,1,8,0,0,0,0,0,0
Luca Mazzitelli,28,MF,Como,11,335,1,1,0.2,0.6,7,3
Pasquale Mazzocchi,29,"DF,FW",Napoli,20,702,0,0,0.3,0.4,3,1
Samuel Mbangula,20,FW,Juventus,23,709,3,3,0.6,1.4,9,5
Ethan Mbappé,17,"MF,FW",Lille,10,222,0,0,1.1,1.5,11,4
Kylian Mbappé,25,FW,Real Madrid,34,2907,31,3,25.9,7.7,152,75
Ibrahim Mbaye,16,"FW,MF",Paris S-G,9,340,1,1,1.8,1.1,12,7
Bryan Mbeumo,24,FW,Brentford,38,3414,20,7,12.3,8.3,79,34
James Mcatee,21,"MF,FW",Manchester City,15,349,3,0,2.8,0.5,12,4
Kasey McAteer,22,FW,Leicester City,18,852,1,1,1,0.7,13,7
Oliver McBurnie,28,FW,Las Palmas,34,1837,3,6,4.8,2.8,32,12
Alex McCarthy,34,GK,Southampton,5,450,0,0,0,0,0,0
John McGinn,29,"MF,FW",Aston Villa,34,2223,1,4,3.1,3.5,31,5
Scott McKenna,27,DF,Las Palmas,29,2466,0,0,1.1,0.7,10,0
Weston McKennie,25,"MF,DF",Juventus,32,2310,2,4,2.9,3.6,22,8
Mark McKenzie,25,DF,Toulouse,30,2496,1,1,1.4,0.5,8,2
Dwight McNeil,24,"MF,FW",Everton,21,1371,4,6,1.1,5.2,25,10
Scott McTominay,27,MF,Manchester Utd,2,19,0,0,0.1,0,1,0
Scott McTominay,27,MF,Napoli,34,2938,12,4,7.4,2.7,76,33
Jakov Medić,25,DF,Bochum,23,1603,1,0,0.9,0.2,14,3
Facundo Medina,25,DF,Lens,29,2543,0,1,1.8,2,27,3
Ben Mee,34,DF,Brentford,7,183,0,0,0,0,0,0
Jayden Meghoma,18,DF,Brentford,1,5,0,0,0,0,0,0
Henrik Meister,20,FW,Rennes,4,63,1,0,0.1,0.3,2,1
Bamo Meïté,22,DF,Montpellier,7,424,0,0,0,0,1,0
Bamo Meïté,22,DF,Marseille,3,26,0,0,0,0,0,0
Mohamed Meité,16,FW,Rennes,12,544,2,0,2.5,0.6,15,5
Mateo Mejía,21,FW,Sevilla,1,11,0,0,0,0,0,0
Farid El Melali,27,FW,Angers,32,1893,2,3,3.6,3.1,46,14
Filippo Melegoni,25,"MF,FW",Genoa,3,89,0,1,0,0.5,1,0
Arthur Melo,27,MF,Girona,15,941,0,0,0.2,0.2,6,1
Nuno Mendes,22,DF,Paris S-G,24,1676,1,3,2.2,5,21,9
Brais Méndez,27,MF,Real Sociedad,27,1531,3,2,3.5,2,28,9
Antoine Mendy,20,DF,Nice,18,825,0,0,0.6,0.1,9,1
Ferland Mendy,29,DF,Real Madrid,14,1005,0,1,0,0.5,0,0
Nampalys Mendy,32,MF,Lens,10,588,0,1,0.2,0.1,3,0
Nobel Mendy,19,DF,Betis,2,108,0,0,0,0,0,0
Gideon Mensah,26,DF,Auxerre,29,2280,0,1,0.2,2.6,4,1
Alex Meret,27,GK,Napoli,34,3005,0,0,0,0,0,0
Mikel Merino,28,"MF,FW",Arsenal,28,1586,7,2,5.9,2,38,13
Quentin Merlin,22,DF,Marseille,27,1589,1,3,2.1,3,26,9
Víctor Meseguer,25,MF,Valladolid,14,418,0,0,0.7,0,6,0
Rafik Messali,21,DF,Toulouse,13,456,0,1,0.3,1,4,0
Junior Messias,33,"MF,FW",Genoa,17,847,1,1,2.4,0.7,17,5
Connor Metcalfe,24,"MF,FW",St. Pauli,10,358,0,0,0.7,0.2,6,3
Karol Mets,31,DF,St. Pauli,10,900,0,0,0.1,0.2,3,0
Thomas Meunier,32,DF,Lille,30,1928,2,0,1.9,0.7,28,11
Alexander Meyer,33,GK,Dortmund,2,180,0,0,0,0.1,0,0
Shumaira Mheuka,16,MF,Chelsea,1,1,0,0,0.1,0,1,1
Lucas Michal,19,"FW,MF",Monaco,8,117,0,0,0.2,0.9,3,1
Florian Micheler,19,MF,Hoffenheim,1,32,0,0,0,0,0,0
Miguel,24,FW,Leganés,34,1724,1,3,4.9,1.4,33,14
Valentin Mihaila,24,"FW,MF",Parma,21,1288,0,3,2.4,1.2,31,11
Georges Mikautadze,23,FW,Lyon,34,1449,11,6,10.3,4.3,52,22
Igor Miladinović,21,"FW,MF",Saint-Étienne,3,26,0,0,0,0,0,0
Nikola Milenković,26,DF,Nott'ham Forest,37,3330,5,2,4,1.1,29,8
Lewis Miley,18,MF,Newcastle Utd,14,313,1,0,0.5,0,3,2
Vanja Milinković-Savić,27,GK,Torino,37,3330,0,0,0,0.1,0,0
Éder Militão,26,DF,Real Madrid,12,938,1,1,0.6,0.5,10,3
Luis Milla,29,MF,Getafe,33,2875,1,4,1.8,3.9,31,7
Pere Milla,31,"MF,FW",Espanyol,20,456,3,0,1.5,0.3,11,5
Enzo Millot,22,"MF,FW",Stuttgart,29,1843,6,5,7.6,3.1,43,17
James Milner,38,MF,Brighton,4,170,0,0,0.2,0.2,2,0
Kim Min-jae,27,DF,Bayern Munich,27,2283,2,0,1.6,0.3,7,5
Yerry Mina,29,DF,Cagliari,31,2569,1,0,2.3,0.3,26,8
Takumi Minamino,29,"MF,FW",Monaco,31,2231,6,3,8.9,6.6,57,20
Lucas Mincarelli,20,DF,Montpellier,10,715,1,0,0.6,0.3,7,2
Tyrone Mings,31,DF,Aston Villa,14,1120,0,0,0.8,0.2,9,1
Óscar Mingueza,25,"MF,DF",Celta Vigo,34,2729,4,6,1.5,5.6,33,10
Kim Minsu,18,"MF,FW",Girona,3,22,0,0,0,0,0,0
Yankuba Minteh,20,"FW,MF",Brighton,32,1838,6,4,4.1,5,34,16
Bojan Miovski,25,FW,Girona,17,869,2,1,2.7,0.2,14,4
Rafa Mir,27,"FW,MF",Valencia,20,753,1,2,3,0.7,27,7
Juan Miranda,24,DF,Bologna,31,2277,0,6,0.7,6.1,22,5
Fabio Miretti,20,"MF,FW",Genoa,25,1677,3,3,3.1,2,24,6
Tyrick Mitchell,24,DF,Crystal Palace,37,3092,0,5,1.3,6.4,12,3
Kaoru Mitoma,27,"FW,MF",Brighton,36,2603,10,4,9.2,4.6,57,27
Maximilian Mittelstädt,27,DF,Stuttgart,31,2469,1,7,0.9,4.7,21,4
Koji Miyoshi,27,"FW,MF",Bochum,15,464,1,0,1.1,0.8,12,5
Henrikh Mkhitaryan,35,MF,Inter,31,2328,1,4,1.5,2.7,23,2
Jakub Moder,25,MF,Brighton,4,11,0,0,0,0.2,0,0
Rui Modesto,24,"DF,MF",Udinese,20,608,0,1,0.5,0.8,3,2
Luka Modrić,38,MF,Real Madrid,35,1827,2,6,1.6,7,22,6
Max Moerstedt,,FW,Hoffenheim,12,451,0,0,0.8,0.6,12,4
Terem Moffi,25,FW,Nice,5,58,1,0,2.3,0,6,4
Mostafa Mohamed,26,FW,Nantes,30,1252,5,0,5.5,0.4,43,16
Johan Mojica,31,DF,Mallorca,36,2755,1,2,0.9,4.1,17,3
David Mokwa,20,"DF,FW",Hoffenheim,2,22,0,0,0.3,0,2,2
Alberto Moleiro,20,"FW,MF",Las Palmas,35,2714,6,1,5.6,3.3,68,24
Nahuel Molina,26,DF,Atlético Madrid,30,1590,0,3,0.8,1.5,9,1
Florent Mollet,32,"MF,FW",Nantes,9,242,0,0,0.3,0.3,6,2
Jon Moncayola,26,MF,Osasuna,32,2099,0,0,1.6,3.7,21,9
Jeremy Monga,,"FW,MF",Leicester City,7,112,0,0,0.2,0,3,1
Gonzalo Montiel,27,"DF,MF",Sevilla,6,113,0,0,0,0,1,0
Lorenzo Montipò,28,GK,Hellas Verona,36,3240,0,0,0,0,0,0
Mikey Moore,16,FW,Tottenham,10,366,0,1,0.2,0.3,3,0
Álvaro Morata,31,"FW,MF",Milan,16,1099,5,0,3.9,0.8,27,10
Morato,23,DF,Nott'ham Forest,26,907,0,0,0.2,0,2,1
Diego Moreira,19,"DF,MF",Strasbourg,32,2568,2,7,2,7.3,25,8
Alberto Moreno,32,DF,Como,24,1727,0,0,0.4,1.2,14,6
Álex Moreno,31,"DF,MF",Nott'ham Forest,15,955,0,1,0.2,1.3,6,0
Gerard Moreno,32,FW,Villarreal,17,721,3,2,4.2,3.6,23,9
Matias Moreno,20,DF,Fiorentina,4,144,0,0,0,0,0,0
Xavier Moreno,19,FW,Valladolid,1,45,0,0,0,0,0,0
Tete Morente,27,"FW,MF",Lecce,31,2021,3,2,2.9,1.6,41,13
Mateu Morey,24,DF,Mallorca,16,741,0,0,0.4,0.3,3,1
Ilaix Moriba,21,MF,Celta Vigo,33,2132,1,1,1.7,1.5,34,11
Manu Morlanes,25,MF,Mallorca,23,1338,0,0,0.6,0.3,11,1
Nikola Moro,26,MF,Bologna,22,1208,0,2,0.5,0.8,14,2
Raúl Moro,21,"MF,FW",Valladolid,33,2341,4,5,4.1,5.7,46,16
Sam Morsy,32,MF,Ipswich Town,33,2751,1,1,0.4,1.2,13,3
Gabriel Moscardo,18,"MF,DF",Reims,6,84,0,0,0.2,0,2,0
Cristhian Mosquera,20,DF,Valencia,37,3319,1,0,0.4,0,5,2
Daniel Mosquera,24,FW,Hellas Verona,35,1375,5,1,6.6,1.3,57,15
Yerson Mosquera,23,DF,Wolves,5,441,0,0,0.3,0.1,2,0
Dany Mota,26,"FW,MF",Monza,31,2104,5,2,5.1,1.8,42,11
Yael Mouanga,19,DF,Montpellier,14,946,0,0,0.1,0.2,1,0
Aimen Moueffek,23,MF,Saint-Étienne,22,1039,0,1,1.1,1.1,10,2
Youssoufa Moukoko,19,"FW,MF",Nice,11,204,2,1,2.2,0.8,6,2
Steve Mounié,29,"FW,MF",Augsburg,16,347,1,0,3.2,0,22,7
Mason Mount,25,MF,Manchester Utd,17,622,1,0,3.2,0.6,20,9
Santiago Mouriño,22,DF,Alavés,25,1849,0,1,0.9,0.9,13,3
Louis Mouton,22,MF,Saint-Étienne,24,1045,0,1,1.3,1.3,19,3
Divin Mubama,19,FW,Manchester City,1,28,0,0,0,0,1,0
Mykhailo Mudryk,23,FW,Chelsea,7,151,0,0,0.3,1,1,1
Ngal'Ayel Mukau,19,MF,Lille,22,1190,0,1,0.8,0.7,11,2
Nordi Mukiele,26,DF,Leverkusen,15,899,1,0,1.4,1,7,3
Florian Müller,26,GK,Freiburg,9,753,0,0,0,0,0,0
Kevin Müller,33,GK,Heidenheim,33,2939,0,0,0,0,0,0
Marius Müller,31,GK,Wolfsburg,6,475,0,0,0,0,0,0
Thomas Müller,34,"MF,FW",Bayern Munich,30,1225,1,4,3.8,2.9,30,11
Abdul Mumin,26,DF,Rayo Vallecano,24,2017,2,1,0.6,0.2,10,3
Marshall Munetsi,28,"MF,FW",Wolves,14,1078,2,1,3.3,1.8,22,7
Marshall Munetsi,28,MF,Reims,19,1692,4,2,4,2,32,10
Rodrigo Muniz,23,FW,Fulham,31,964,8,1,5.8,0.7,39,19
Aihen Muñoz,26,DF,Real Sociedad,21,1098,0,0,0.2,0.3,6,0
Álex Muñoz,30,DF,Las Palmas,21,1415,3,0,0.9,0.5,9,5
Daniel Muñoz,28,DF,Crystal Palace,37,3228,4,5,4.9,5.5,37,14
Iker Muñoz,21,MF,Osasuna,23,610,0,1,0.5,1,11,0
Javier Muñoz,29,"MF,DF",Las Palmas,35,2588,1,3,1.3,2.5,25,6
Víctor Muñoz,21,"FW,DF",Real Madrid,2,36,0,0,0.5,0,1,0
Arijanet Muric,25,GK,Ipswich Town,18,1620,0,0,0,0,0,0
Murillo,22,DF,Nott'ham Forest,36,3188,2,0,1.4,1.2,25,6
Vedat Muriqi,30,FW,Mallorca,29,2058,7,2,9.7,2.2,52,16
Jacob Murphy,29,FW,Newcastle Utd,35,2360,8,12,5.7,8.9,43,15
Bob Murphy Omoregbe,20,MF,Milan,1,3,0,0,0,0,0,0
Yunus Musah,21,"MF,FW",Milan,29,1571,0,2,1.9,1.8,22,5
Jamal Musiala,21,MF,Bayern Munich,25,1798,12,2,9.3,4.5,68,31
Florent Muslija,26,"FW,MF",Freiburg,9,168,0,0,0.3,0.3,3,2
Almoatasem Al Musrati,28,MF,Monaco,10,386,1,1,0.5,0.4,11,3
Juan Musso,30,GK,Atalanta,1,90,0,0,0,0,0,0
Juan Musso,30,GK,Atlético Madrid,2,180,0,0,0,0,0,0
Kingstone Mutandwa,21,"FW,MF",Cagliari,6,127,0,0,0.4,0,4,0
Junior Mwanga,21,MF,Le Havre,11,952,1,2,1.3,1,16,3
Junior Mwanga,21,MF,Strasbourg,8,296,0,0,0,0,0,0
Phillipp Mwene,30,DF,Mainz 05,32,2607,1,4,1.5,1.9,21,4
Vitaliy Mykolenko,25,DF,Everton,35,3082,1,2,0.5,2.6,14,1
Joakim Mæhle,27,DF,Wolfsburg,28,2188,3,4,2,2.2,18,7
Obite N'Dicka,24,DF,Roma,38,3420,0,1,1,0.7,18,5
Konan N'dri,23,"FW,MF",Lecce,11,306,0,0,0.5,0.2,9,2
Loïc N'Gatta,20,DF,Auxerre,2,13,0,0,0,0,0,0
Nathan N'Goumou,24,FW,Gladbach,19,828,2,1,1.9,1.3,24,13
Djylian N'Guessan,15,FW,Saint-Étienne,8,181,0,0,0.4,0.1,3,0
Stanley N'Soki,25,DF,Hoffenheim,22,1308,0,0,0.1,0.4,3,1
Mickael Nade,25,DF,Saint-Étienne,26,2306,1,2,0.7,0.6,5,2
Bilal Nadir,20,MF,Marseille,15,383,1,0,0.6,0.4,8,3
Mahamadou Nagida,19,DF,Rennes,12,430,2,0,1.5,0.3,6,3
